Year,World Inflation Rate,taken from https://www.macrotrends.net/countries/WLD/world/inflation-rate-cpi
2014,2.35%,
2015,1.43%,
2016,1.49%,
2017,2.18%,
2018,2.42%,
2019,2.15%,
2020,1.94%,
